strategy,category,iou,precision,recall,f1,confidence,time_ms
CP,ship,0.237195,0.31273,0.495469,0.38344,0.957207,1401.51
BB,ship,0.177187,0.998702,0.177227,0.301034,0.943298,16.87
MP3,ship,0.246294,0.307279,0.553763,0.395242,0.957464,14.64
MP5,ship,0.278919,0.32835,0.649462,0.43618,0.949874,14.45
MP10,ship,0.261784,0.336241,0.541743,0.414942,0.933966,14.02
BPC,ship,0.439302,0.776066,0.503072,0.610438,0.961261,14.78
CPC,ship,0.265338,0.316788,0.620315,0.419395,0.931464,13.57
CP,ship,0.079961,0.086574,0.511431,0.148081,0.965099,15.92
BB,ship,0.047647,0.217347,0.057516,0.090961,0.523727,14.84
MP3,ship,0.065116,0.06907,0.532133,0.12227,0.963337,14.57
MP5,ship,0.094784,0.09489,0.988389,0.173155,0.965214,13.16
MP10,ship,0.099438,0.102085,0.793159,0.180889,0.928554,13.15
BPC,ship,0.599387,0.80197,0.70351,0.749521,0.724466,13.76
CPC,ship,0.090893,0.092724,0.821512,0.166639,0.967609,12.96
CP,ship,0.002052,0.002052,1.0,0.004095,0.997345,15.39
BB,ship,0.701087,0.853598,0.796911,0.824281,0.701315,13.95
MP3,ship,0.002066,0.002066,1.0,0.004123,0.997011,13.59
MP5,ship,0.002077,0.002077,1.0,0.004145,0.993626,13.68
MP10,ship,0.002117,0.002117,1.0,0.004225,0.960097,13.36
BPC,ship,0.785156,0.833449,0.931274,0.87965,0.75686,13.55
CPC,ship,0.002078,0.002078,1.0,0.004148,0.993326,12.76
CP,ship,0.00264,0.00264,1.0,0.005266,0.996983,14.85
BB,ship,0.593264,0.620036,0.932157,0.744715,0.735344,13.11
MP3,ship,0.002635,0.002635,1.0,0.005256,1.011827,12.64
MP5,ship,0.00264,0.00264,1.0,0.005267,1.002546,12.57
MP10,ship,0.002659,0.002659,1.0,0.005304,0.960668,12.03
BPC,ship,0.527757,0.537302,0.967436,0.690891,0.830275,12.99
CPC,ship,0.002643,0.002643,1.0,0.005271,1.000431,12.42
CP,ship,0.088915,0.097183,0.511042,0.16331,0.899678,13.94
BB,ship,0.185945,0.973941,0.186875,0.313582,0.760847,13.13
MP3,ship,0.112078,0.120647,0.612083,0.201564,0.897459,12.27
MP5,ship,0.133008,0.144018,0.635,0.234787,0.921428,12.34
MP10,ship,0.149863,0.16294,0.65125,0.260663,0.854964,12.25
BPC,ship,0.610417,0.887399,0.661667,0.758086,0.779388,12.87
CPC,ship,0.163649,0.171053,0.790833,0.281269,0.920367,12.07
CP,ship,0.016973,0.016973,1.0,0.03338,0.945886,13.97
BB,ship,0.62255,0.63727,0.964224,0.767372,0.769469,13.24
MP3,ship,0.017055,0.017055,1.0,0.033538,0.96161,12.79
MP5,ship,0.025728,0.025728,1.0,0.050166,0.985978,13.06
MP10,ship,0.023606,0.023606,1.0,0.046124,0.968744,13.38
BPC,ship,0.617676,0.624508,0.982595,0.763658,0.854045,13.52
CPC,ship,0.021452,0.021452,1.0,0.042002,0.981508,13.24
CP,ship,0.013667,0.013749,0.69863,0.026966,0.998673,12.58
BB,ship,0.474252,0.88737,0.504628,0.64338,0.698571,12.2
MP3,ship,0.014113,0.01419,0.721214,0.027833,0.992969,11.74
MP5,ship,0.014135,0.014212,0.722325,0.027875,0.994804,10.97
MP10,ship,0.013893,0.013979,0.692706,0.027405,0.941742,11.05
BPC,ship,0.479727,0.857491,0.521288,0.6484,0.748323,11.52
CPC,ship,0.01327,0.01336,0.661237,0.026192,0.991412,10.88
CP,ship,0.000989,0.000989,1.0,0.001975,0.89805,12.25
BB,ship,0.709565,0.819277,0.841237,0.830112,0.787335,11.07
MP3,ship,0.002782,0.002782,1.0,0.005548,0.942691,11.22
MP5,ship,0.000576,0.000576,1.0,0.001151,0.895729,10.91
